id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0,1203,0,0.6809807840000001,1,1,1,23,0.40257961600000003,117,3,2,1331,721,1970,15,1,4,1,0,1,2
3,1203,1,2.602753503,1,0,0,8,0.415612181,194,1,19,1571,1262,1150,14,16,14,1,0,1,3
4,1980,1,2.604065402,1,0,0,6,0.8581100629999999,122,2,15,364,721,1970,18,12,11,1,0,1,1
5,1185,1,2.669402862,1,3,0,33,0.027064762000000003,132,8,4,447,1162,1950,15,3,19,1,0,0,2
7,1203,1,2.3754531919999997,0,4,1,12,0.141484682,135,6,5,364,1917,1970,16,7,6,1,1,1,0
8,1203,1,0.499105329,0,2,0,53,0.41297372299999996,102,5,14,1260,1917,1970,16,6,13,1,1,1,1
9,1977,1,0.512764281,1,3,1,3,0.026462004,198,4,19,68,1633,3624,15,3,6,1,1,0,3
11,1154,0,0.499018071,0,0,0,2,0.798600816,176,7,17,497,1809,3269,13,7,7,1,1,1,2
14,1949,1,1.109262495,1,0,0,27,0.023650021,169,6,1,1032,1710,286,10,3,19,1,0,0,2
16,1027,1,1.682319035,1,0,1,60,0.082578128,134,3,2,66,1011,2208,10,5,4,1,1,0,0
17,710,0,0.498759044,1,0,1,20,0.031168089,105,1,4,519,1988,286,7,4,7,1,0,0,2
19,1843,0,0.498763439,1,5,1,20,0.031659047,85,1,4,519,1988,286,7,4,7,1,0,0,2
20,1027,0,1.299626894,1,0,1,51,0.06813404599999999,82,2,1,18,730,1970,18,2,12,1,0,0,2
21,1027,0,1.895191616,1,3,0,53,0.12475431,146,5,16,1109,644,512,16,0,20,1,1,0,2
22,1843,0,0.498787945,1,5,1,54,0.031652692999999996,99,1,11,275,1988,286,7,0,19,1,0,0,2
27,710,0,0.498739486,1,0,1,20,0.032364987000000005,105,1,4,144,1988,286,7,4,7,1,0,0,2
28,1203,1,0.672824744,0,2,0,49,0.905629316,138,4,19,66,874,2227,7,4,19,1,1,0,2
30,1980,0,0.49877719200000004,1,0,1,20,0.035590657000000005,105,1,11,519,1988,286,7,4,2,1,0,0,2
32,832,0,0.498842544,1,0,0,12,0.613032044,156,8,7,319,721,2655,13,1,15,1,1,1,3
33,1027,1,1.938390553,1,4,1,6,0.411117092,80,1,5,667,1370,1970,17,7,7,1,1,0,0
35,1843,1,0.640799139,0,1,1,2,0.61087983,110,6,3,1248,1289,2655,15,5,6,1,0,1,1
38,1843,0,0.49875810200000004,1,0,1,20,0.031310412999999995,100,1,4,275,1988,286,7,4,7,1,0,0,2
39,710,0,0.5484911060000001,0,3,1,13,0.091952182,178,4,11,416,1897,3204,11,11,8,1,1,0,0
41,1203,1,0.499126411,0,0,0,61,0.8511391909999999,190,4,1,1260,1023,461,8,0,8,1,0,1,1
42,965,1,1.6311233490000001,1,0,0,15,0.040285135,139,4,3,403,639,1590,15,3,6,0,1,0,3
43,606,0,0.49877071100000003,1,5,1,20,0.031420326,100,1,11,275,1988,286,7,4,7,1,0,0,2
44,1203,1,2.416299024,1,0,0,33,0.90847037,101,1,13,1191,1683,790,17,3,11,1,0,1,3
