年月日,平均気温(℃),降水量の合計(mm),日照時間(時間)
2019/1/1,5.3,0,8.9
2019/1/2,6.2,0,8.7
2019/1/3,4.9,0,8.9
2019/1/4,5.1,0,8.9
2019/1/5,7.4,0,8.9
2019/1/6,5.3,0,2.7
2019/1/7,5.4,0,8.8
2019/1/8,4.6,0,8.5
2019/1/9,4.5,0,9
2019/1/10,2,0,1.8
2019/1/11,6.4,0,8.8
2019/1/12,4.6,0,0
2019/1/13,6.2,0,6.6
2019/1/14,5.6,0,9.1
2019/1/15,5.6,0.5,2.9
2019/1/16,6.6,0,6.8
2019/1/17,6.6,0,8.8
2019/1/18,5.9,0,9.2
2019/1/19,6.6,0,9
2019/1/20,7.1,0,8.1
2019/1/21,5.8,0,9.2
2019/1/22,5,0,8.7
2019/1/23,6.7,0,9
2019/1/24,6.2,0,9.2
2019/1/25,6,0,3.5
2019/1/26,4.5,0,6.1
2019/1/27,4.6,0,9.4
2019/1/28,6.5,0,5
2019/1/29,6,0,9.3
2019/1/30,5.2,0,8.4
2019/1/31,5.1,15.5,0
2019/2/1,4.1,0,9.4
2019/2/2,6,0,9.5
2019/2/3,8.5,0,8.5
2019/2/4,13.2,0,8.9
2019/2/5,6.7,0,0
2019/2/6,5.7,15,0.5
2019/2/7,9.6,0,6.6
2019/2/8,6.1,0,3.5
2019/2/9,0.8,2,0
2019/2/10,3.5,0,8.7
2019/2/11,3,0,0
2019/2/12,6.2,0,4.9
2019/2/13,5.2,0,1.1
2019/2/14,4.5,0,7.4
2019/2/15,3,0,0
2019/2/16,6.8,0,6
2019/2/17,6.4,0,6.4
2019/2/18,8.2,0,9.9
2019/2/19,9.1,1.5,0
2019/2/20,11.6,0.5,6.5
2019/2/21,10.3,0,7
2019/2/22,9.3,0,7.9
2019/2/23,8.9,0,8.2
2019/2/24,8.8,0,9.3
2019/2/25,11.3,0,4.1
2019/2/26,10.2,0,2.4
2019/2/27,7.7,0.5,1.3
2019/2/28,6.6,22.5,0
